start-time,end-time,duration,rtt,proto,sip,sp,dip,dp,iflags,uflags,riflags,ruflags,isn,risn,pkt,oct,rpkt,roct,app,entropy,rentropy,end-reason
5/13/24 4:00 AM,5/13/24 4:02 AM,102.862,0.019,6,192.168.50.2,53694,172.253.63.132,443,S,APF,AS,APF,13593c45,666cc648,5098.00,289043,171987,249579295,443,248,252,
5/13/24 3:59 AM,5/13/24 4:01 AM,93.334,0.019,17,192.168.50.2,51566,142.251.111.139,443,0,0,0,0,00000000,00000000,1461.00,362151,8189,9688191,51443,251,251,eof
5/13/24 3:59 AM,5/13/24 4:01 AM,146.63,0.022,6,192.168.50.2,53584,23.73.231.167,443,S,APF,AS,APF,de951e43,6ca77ba2,514.00,41901,3830,5498091,443,249,252,
5/13/24 3:59 AM,5/13/24 4:01 AM,144.873,0.025,6,192.168.50.2,53582,23.73.231.167,443,S,APF,AS,APF,cac840ea,6c7ffcf8,428.00,35404,3655,5333811,443,248,252,
5/13/24 3:53 AM,5/13/24 4:02 AM,514.812,0.007,6,192.168.50.2,53537,185.199.110.133,443,S,APRF,AS,APF,eb193ddd,a6dbc164,205.00,17200,3373,4728071,443,248,252,
5/13/24 3:50 AM,5/13/24 3:54 AM,289.719,0.026,6,192.168.50.2,53491,74.125.34.46,443,S,APF,AS,APF,a8f76fa7,579f9e2d,393.00,32301,2372,2762423,443,248,252,
5/13/24 4:02 AM,5/13/24 4:02 AM,18.173,0.024,6,192.168.50.2,53723,104.70.78.191,443,S,APRF,AS,AP,58364eed,bcb0a3f3,236.00,20425,1399,2042371,443,249,253,
5/13/24 4:00 AM,5/13/24 4:01 AM,8.497,0.018,17,192.168.50.2,54470,142.250.31.132,443,0,0,0,0,00000000,00000000,218.00,21993,1381,1710270,51443,251,251,eof
5/13/24 3:50 AM,5/13/24 3:50 AM,30.044,0.02,17,192.168.50.2,51587,142.251.16.106,443,0,0,0,0,00000000,00000000,322.00,55351,1403,1564258,51443,250,250,idle
5/13/24 3:59 AM,5/13/24 4:02 AM,177.95,0.018,6,192.168.50.2,53663,99.86.227.15,443,S,APF,AS,APF,f91a5a3a,926abc7f,118.00,9187,943,1366926,443,249,253,
5/13/24 4:00 AM,5/13/24 4:01 AM,9.627,0.021,17,192.168.50.2,52928,64.233.180.132,443,0,0,0,0,00000000,00000000,233.00,56599,1103,1306459,51443,250,250,eof
5/13/24 4:00 AM,5/13/24 4:00 AM,0.191,0.018,17,192.168.50.2,63221,142.251.163.94,443,0,0,0,0,00000000,00000000,120.00,10491,729,914118,51443,251,250,eof
5/13/24 3:59 AM,5/13/24 4:01 AM,128.663,0.025,6,192.168.50.2,53581,23.73.251.44,443,S,APF,AS,APF,3e0bcda1,a466bc8f,404.00,281330,686,871684,443,249,252,
5/13/24 3:52 AM,5/13/24 3:53 AM,84.467,0.019,17,192.168.50.2,56373,162.159.152.4,443,0,0,0,0,00000000,00000000,249.00,129016,691,753666,51443,250,23,idle
5/13/24 3:59 AM,5/13/24 4:01 AM,116.197,0.02,17,192.168.50.2,64957,172.253.115.101,443,0,0,0,0,00000000,00000000,381.00,178248,703,641238,51443,251,250,eof
5/13/24 4:02 AM,5/13/24 4:02 AM,17.08,0.024,6,192.168.50.2,53726,104.70.55.51,443,S,APRF,AS,AP,e17a7819,a85a4ee7,225.00,106254,451,611183,443,249,252,
5/13/24 3:59 AM,5/13/24 4:01 AM,135.064,0.027,6,192.168.50.2,53607,23.73.241.35,443,S,APF,AS,APF,4de603c1,c81cf4a9,234.00,91911,435,580123,443,249,252,
5/13/24 3:59 AM,5/13/24 4:00 AM,23.268,0.017,17,192.168.50.2,58563,142.250.31.132,443,0,0,0,0,00000000,00000000,155.00,20170,472,521222,51443,250,250,eof
5/13/24 3:54 AM,5/13/24 3:54 AM,5.713,0.021,17,192.168.50.2,64803,162.159.152.4,443,0,0,0,0,00000000,00000000,91.00,13840,408,487102,51443,251,23,idle
5/13/24 3:59 AM,5/13/24 4:02 AM,168.452,0.018,17,192.168.50.2,54459,142.251.167.113,443,0,0,0,0,00000000,00000000,548.00,302265,673,438532,51443,251,250,eof
5/13/24 3:59 AM,5/13/24 3:59 AM,45.649,0.062,6,192.168.50.2,53604,139.71.89.13,443,S,APF,AS,APF,17b5a4d0,7cdc3d2f,88.00,29286,265,253960,443,247,232,
5/13/24 3:50 AM,5/13/24 3:54 AM,240.204,0.031,6,192.168.50.2,53501,142.250.31.94,443,S,APF,AS,APF,3b5d3c45,fe8bf173,95.00,7783,189,252524,443,249,252,
5/13/24 3:59 AM,5/13/24 3:59 AM,4.113,0.018,17,192.168.50.2,61697,142.251.163.94,443,0,0,0,0,00000000,00000000,78.00,12393,202,235151,51443,251,250,eof
5/13/24 3:59 AM,5/13/24 4:01 AM,136.06,0.017,17,192.168.50.2,60437,162.159.61.3,443,0,0,0,0,00000000,00000000,692.00,132178,637,224027,51443,251,23,eof
5/13/24 3:50 AM,5/13/24 3:50 AM,0.108,0.02,17,192.168.50.2,61443,142.250.31.94,443,0,0,0,0,00000000,00000000,63.00,8089,178,222912,51443,251,250,idle
5/13/24 3:48 AM,5/13/24 3:59 AM,647.772,0,6,147.135.7.130,443,192.168.50.2,51404,A,APF,A,AR,bddf53b2,8c611f46,60006.00,89179598,4252,221080,0,0,0,
5/13/24 3:53 AM,5/13/24 3:54 AM,31.634,0.019,6,192.168.50.2,53535,140.82.113.4,443,S,APRF,AS,APF,3b925dc1,ec986f78,67.00,10820,171,213921,443,248,253,
5/13/24 3:50 AM,5/13/24 3:54 AM,240.183,0.017,6,192.168.50.2,53493,172.253.63.100,443,S,APF,AS,APF,1dc09383,25780384,92.00,11763,164,207227,443,249,252,
5/13/24 3:59 AM,5/13/24 3:59 AM,12.674,0.022,17,192.168.50.2,60910,64.233.180.132,443,0,0,0,0,00000000,00000000,144.00,47733,234,200029,51443,250,250,eof
5/13/24 3:50 AM,5/13/24 3:54 AM,240.488,0.019,6,192.168.50.2,53495,64.233.180.97,443,S,APF,AS,APF,8f8f77c2,2e6196d2,96.00,7536,147,188570,443,248,253,
5/13/24 3:59 AM,5/13/24 3:59 AM,0.687,0.018,17,192.168.50.2,64796,142.251.111.155,443,0,0,0,0,00000000,00000000,72.00,11288,157,187012,51443,250,250,eof
5/13/24 3:50 AM,5/13/24 3:50 AM,0.14,0.019,17,192.168.50.2,49798,172.253.62.113,443,0,0,0,0,00000000,00000000,90.00,12987,162,176213,51443,250,251,idle
5/13/24 3:50 AM,5/13/24 3:50 AM,0.189,0.019,17,192.168.50.2,51012,142.251.111.101,443,0,0,0,0,00000000,00000000,85.00,11424,167,172700,51443,251,251,idle
5/13/24 3:50 AM,5/13/24 3:54 AM,240.086,0.017,6,192.168.50.2,53504,142.251.16.94,443,S,APF,AS,APF,a632c4b9,477a7656,100.00,7875,126,166364,443,249,252,
5/13/24 3:50 AM,5/13/24 3:50 AM,0.221,0.019,17,192.168.50.2,62173,142.251.16.100,443,0,0,0,0,00000000,00000000,82.00,13336,136,142381,51443,251,250,idle
5/13/24 3:59 AM,5/13/24 4:02 AM,168.802,0.02,17,192.168.50.2,51152,142.250.31.94,443,0,0,0,0,00000000,00000000,150.00,15049,237,138926,51443,251,251,eof
5/13/24 3:59 AM,5/13/24 4:02 AM,196.279,0.017,6,192.168.50.2,53602,18.160.18.34,443,S,APF,AS,APF,f997d3be,2253fc21,59.00,5705,105,135980,443,248,252,
5/13/24 3:57 AM,5/13/24 3:58 AM,60.173,0.029,6,192.168.50.2,53570,204.93.149.5,8080,S,APF,AS,APF,85e41ecf,5d07d1ac,37.00,2723,90,124581,443,188,253,
5/13/24 3:58 AM,5/13/24 3:58 AM,0.854,0.019,6,192.168.50.2,53574,17.248.228.70,443,S,APRF,AS,AP,123cf1ea,c545a0c1,78.00,17813,91,119390,443,224,252,
5/13/24 3:49 AM,5/13/24 3:52 AM,205.673,0.023,17,192.168.50.2,56360,172.64.41.3,443,0,0,0,0,00000000,00000000,320.00,66571,303,119284,51443,250,23,idle
5/13/24 3:59 AM,5/13/24 4:02 AM,168.527,0.02,17,192.168.50.2,49358,142.251.167.95,443,0,0,0,0,00000000,00000000,346.00,52087,383,113962,51443,251,251,eof
5/13/24 3:50 AM,5/13/24 3:50 AM,0.286,0.023,17,192.168.50.2,53902,64.233.180.97,443,0,0,0,0,00000000,00000000,48.00,7053,91,109618,51443,250,249,idle
5/13/24 3:50 AM,5/13/24 3:54 AM,240.116,0.023,6,192.168.50.2,53494,142.250.31.94,443,S,APF,AS,APF,b3a9c23c,9deab5d7,62.00,5673,87,107320,443,248,252,
5/13/24 3:59 AM,5/13/24 4:00 AM,55.609,0.032,17,192.168.50.2,52098,142.250.31.95,443,0,0,0,0,00000000,00000000,120.00,14166,177,104603,51443,251,250,eof
5/13/24 4:01 AM,5/13/24 4:01 AM,4.371,0.018,17,192.168.50.2,63310,172.253.115.95,443,0,0,0,0,00000000,00000000,61.00,10388,98,101864,51443,250,250,eof
5/13/24 3:59 AM,5/13/24 4:02 AM,164.14,0.017,6,192.168.50.2,53685,172.253.63.101,443,S,APF,AS,APF,ea9fe2a8,839ae1c2,116.00,16441,117,101703,443,249,252,
5/13/24 4:01 AM,5/13/24 4:01 AM,4.189,0.021,17,192.168.50.2,54590,172.253.63.101,443,0,0,0,0,00000000,00000000,113.00,15338,125,97125,51443,251,250,eof
5/13/24 3:59 AM,5/13/24 4:02 AM,169.262,0.025,6,192.168.50.2,53672,142.251.111.139,443,S,APF,AS,APF,20d29b89,c6b96fa0,53.00,8428,81,95190,443,248,252,
5/13/24 3:59 AM,5/13/24 4:02 AM,177.681,0.017,6,192.168.50.2,53666,172.253.122.97,443,S,APF,AS,APF,b121df73,534a1f3e,64.00,7155,79,94762,443,248,252,
5/13/24 3:59 AM,5/13/24 4:02 AM,177.802,0.017,6,192.168.50.2,53665,172.66.40.60,443,S,APF,AS,APF,f7fa9d7c,b4d24b09,32.00,4228,77,93658,443,248,252,
5/13/24 4:02 AM,5/13/24 4:02 AM,17.079,0.024,6,192.168.50.2,53725,104.70.78.191,443,S,APRF,AS,APF,8391e053,bc591398,71.00,7372,80,91198,443,249,252,
5/13/24 3:59 AM,5/13/24 4:01 AM,120.261,0.026,6,192.168.50.2,53603,23.33.180.253,443,S,APF,AS,APF,2b8a6e79,15263aaa,61.00,6063,72,84925,443,248,252,
5/13/24 3:50 AM,5/13/24 3:50 AM,20.545,0.021,17,192.168.50.2,64193,142.251.16.95,443,0,0,0,0,00000000,00000000,128.00,17020,173,83133,51443,251,250,idle
5/13/24 3:59 AM,5/13/24 3:59 AM,1.73,0.02,17,192.168.50.2,53215,142.251.163.154,443,0,0,0,0,00000000,00000000,40.00,7744,70,79210,51443,250,250,eof
5/13/24 3:59 AM,5/13/24 4:02 AM,190.413,0.016,6,192.168.50.2,53644,172.253.63.132,443,S,APF,AS,APF,9ad255b6,49bd7f2d,57.00,5749,67,78378,443,249,252,
5/13/24 3:59 AM,5/13/24 3:59 AM,45.755,0.019,17,192.168.50.2,62825,142.250.31.104,443,0,0,0,0,00000000,00000000,112.00,16614,145,74666,51443,250,250,eof
5/13/24 3:51 AM,5/13/24 3:51 AM,42.402,0.018,17,192.168.50.2,55567,172.253.63.105,443,0,0,0,0,00000000,00000000,71.00,16216,99,65774,51443,251,250,idle
5/13/24 3:59 AM,5/13/24 3:59 AM,4.513,0.021,17,192.168.50.2,53721,172.253.115.95,443,0,0,0,0,00000000,00000000,40.00,7474,62,65132,51443,250,251,eof
5/13/24 3:59 AM,5/13/24 4:01 AM,120.166,0.039,6,192.168.50.2,53660,37.19.207.34,443,S,APF,AS,APF,35a6658a,8e1f40bd,45.00,4745,53,58511,443,249,252,
5/13/24 3:59 AM,5/13/24 4:02 AM,177.666,0.018,6,192.168.50.2,53667,172.67.40.50,443,S,APF,AS,APF,af23b123,bc38f9a4,24.00,3656,49,55559,443,249,253,
5/13/24 4:01 AM,5/13/24 4:02 AM,37.928,0.018,17,192.168.50.2,58872,172.64.41.3,443,0,0,0,0,00000000,00000000,178.00,37057,139,55537,51443,251,23,eof
5/13/24 3:54 AM,5/13/24 3:54 AM,0.426,0.018,6,192.168.50.2,53543,17.253.21.204,443,S,APRF,AS,AP,0a86c581,720aa6a0,39.00,2981,43,53509,443,186,252,
5/13/24 3:50 AM,5/13/24 3:53 AM,232.449,0.027,6,192.168.50.2,53487,104.108.106.87,443,S,APF,AS,APF,b78fae36,71ba55d3,67.00,13443,68,53042,443,248,252,
5/13/24 3:50 AM,5/13/24 3:54 AM,240.337,0.016,6,192.168.50.2,53498,172.253.115.94,443,S,APF,AS,APF,0267654a,342ba3c4,50.00,5665,56,49710,443,248,253,
