start-time,end-time,duration,rtt,proto,sip,sp,dip,dp,iflags,uflags,riflags,ruflags,isn,risn,tag,rtag,pkt,oct,rpkt,roct,app,entropy,rentropy,end-reason
2021-09-01 16:08:02.819,2021-09-01 16:08:02.850,0.031,0.001,6,192.168.50.133,46250,192.168.50.237,8080,S,APSF,AS,APSF,d774b622,afdf90e8,000,000,12,1190,9,1676,80,174,181,
2021-09-01 16:08:02.852,2021-09-01 16:08:02.873,0.021,0.000,6,192.168.50.133,46252,192.168.50.237,8080,S,APSF,AS,APSF,ff6d6b69,d2a5fee7,000,000,16,1606,15,10558,80,183,137,
2021-09-01 16:08:10.357,2021-09-01 16:08:10.530,0.173,0.009,6,192.168.50.127,39768,192.168.50.50,443,S,APSF,AS,APSF,50c5e315,93e7a836,000,000,34,3070,53,60944,443,229,247,
2021-09-01 16:08:16.328,2021-09-01 16:08:16.328,0.000,0.000,6,192.168.60.159,59851,192.168.60.149,8002,S,S,AR,0,4a7e0804,00000000,000,000,2,104,1,40,0,0,0,
2021-09-01 16:08:16.328,2021-09-01 16:08:16.328,0.000,0.000,6,192.168.60.149,8002,192.168.60.159,59851,AR,0,0,0,00000000,00000000,000,000,1,40,0,0,0,0,0,
2021-09-01 16:08:16.825,2021-09-01 16:08:16.825,0.000,0.000,6,192.168.60.159,59851,192.168.60.149,8002,S,S,AR,0,4a7e0804,00000000,000,000,2,104,1,40,0,0,0,
2021-09-01 16:08:16.825,2021-09-01 16:08:16.825,0.000,0.000,6,192.168.60.149,8002,192.168.60.159,59851,AR,0,0,0,00000000,00000000,000,000,1,40,0,0,0,0,0,
2021-09-01 16:08:17.329,2021-09-01 16:08:17.329,0.000,0.000,6,192.168.60.159,59851,192.168.60.149,8002,S,S,AR,0,4a7e0804,00000000,000,000,2,96,1,40,0,0,0,
2021-09-01 16:08:17.329,2021-09-01 16:08:17.329,0.000,0.000,6,192.168.60.149,8002,192.168.60.159,59851,AR,0,0,0,00000000,00000000,000,000,1,40,0,0,0,0,0,
2021-09-01 16:08:17.798,2021-09-01 16:08:17.840,0.042,0.003,6,192.168.50.129,44264,192.168.50.225,80,S,APSF,AS,APSF,8e5cbccd,faa562a8,000,000,19,1188,18,7336,80,171,174,
