flow_id,stime_ms,sub,tls_id,issuer_subject,f1,value,tls_field
3758252460,1631290497232,0,463,I,0,0x95d6f221c32953590c3a85cbee0d9e61,ja3_hash
3758252460,1631290497232,0,465,I,0,0x0debd3853f330c574b05e0b6d882dc27,ja3s_hash
3758252460,1631290497232,0,464,I,0,"771,4866-4867-4865-49196-49200-49195-49199-52393-52392-163-159-162-158-52394-49327-49325-49188-49192-49162-49172-49315-49311-107-106-57-56-49326-49324-49187-49191-49161-49171-49314-49310-103-64-51-50-157-156-49313-49309-49312-49308-61-60-53-47-255,11-10-35-22-23-13-43-45-51-21,29-23-30-25-24,0-1-2",ja3_params
3758252460,1631290497232,0,466,I,0,"771,49200,65281-11",ja3s_params
2215797172,1631290499066,0,463,I,0,0x6f09a54a72726b28810dfeebfac1c0c4,ja3_hash
2215797172,1631290499066,0,465,I,0,0xccc514751b175866924439bdbb5bba34,ja3s_hash
2215797172,1631290499066,0,464,I,0,"771,49196-49200-49195-49199-52393-52392-163-159-162-158-52394-49327-49325-49188-49192-49162-49172-49315-49311-107-106-57-56-49326-49324-49187-49191-49161-49171-49314-49310-103-64-51-50-157-156-49313-49309-49312-49308-61-60-53-47-255,0-11-10-35-22-23-13,23,0-1-2",ja3_params
2215797172,1631290499066,0,466,I,0,"771,49199,65281-11-35",ja3s_params
2977849672,1631290510036,0,463,I,0,0x6f09a54a72726b28810dfeebfac1c0c4,ja3_hash
2977849672,1631290510036,0,465,I,0,0xccc514751b175866924439bdbb5bba34,ja3s_hash
2977849672,1631290510036,0,464,I,0,"771,49196-49200-49195-49199-52393-52392-163-159-162-158-52394-49327-49325-49188-49192-49162-49172-49315-49311-107-106-57-56-49326-49324-49187-49191-49161-49171-49314-49310-103-64-51-50-157-156-49313-49309-49312-49308-61-60-53-47-255,0-11-10-35-22-23-13,23,0-1-2",ja3_params
2977849672,1631290510036,0,466,I,0,"771,49199,65281-11-35",ja3s_params
2216190388,1631290535641,0,463,I,0,0x6f09a54a72726b28810dfeebfac1c0c4,ja3_hash
2216190388,1631290535641,0,465,I,0,0xccc514751b175866924439bdbb5bba34,ja3s_hash
2216190388,1631290535641,0,464,I,0,"771,49196-49200-49195-49199-52393-52392-163-159-162-158-52394-49327-49325-49188-49192-49162-49172-49315-49311-107-106-57-56-49326-49324-49187-49191-49161-49171-49314-49310-103-64-51-50-157-156-49313-49309-49312-49308-61-60-53-47-255,0-11-10-35-22-23-13,23,0-1-2",ja3_params
2216190388,1631290535641,0,466,I,0,"771,49199,65281-11-35",ja3s_params
3749863901,1631290549222,0,463,I,0,0x95d6f221c32953590c3a85cbee0d9e61,ja3_hash
3749863901,1631290549222,0,465,I,0,0x0debd3853f330c574b05e0b6d882dc27,ja3s_hash
3749863901,1631290549222,0,464,I,0,"771,4866-4867-4865-49196-49200-49195-49199-52393-52392-163-159-162-158-52394-49327-49325-49188-49192-49162-49172-49315-49311-107-106-57-56-49326-49324-49187-49191-49161-49171-49314-49310-103-64-51-50-157-156-49313-49309-49312-49308-61-60-53-47-255,11-10-35-22-23-13-43-45-51-21,29-23-30-25-24,0-1-2",ja3_params
3749863901,1631290549222,0,466,I,0,"771,49200,65281-11",ja3s_params
3382862298,1631290577452,0,463,I,0,0x95d6f221c32953590c3a85cbee0d9e61,ja3_hash
3382862298,1631290577452,0,465,I,0,0x0debd3853f330c574b05e0b6d882dc27,ja3s_hash
3382862298,1631290577452,0,464,I,0,"771,4866-4867-4865-49196-49200-49195-49199-52393-52392-163-159-162-158-52394-49327-49325-49188-49192-49162-49172-49315-49311-107-106-57-56-49326-49324-49187-49191-49161-49171-49314-49310-103-64-51-50-157-156-49313-49309-49312-49308-61-60-53-47-255,11-10-35-22-23-13-43-45-51-21,29-23-30-25-24,0-1-2",ja3_params
3382862298,1631290577452,0,466,I,0,"771,49200,65281-11",ja3s_params
2978242888,1631290605091,0,463,I,0,0x6f09a54a72726b28810dfeebfac1c0c4,ja3_hash
2978242888,1631290605091,0,465,I,0,0xccc514751b175866924439bdbb5bba34,ja3s_hash
2978242888,1631290605091,0,464,I,0,"771,49196-49200-49195-49199-52393-52392-163-159-162-158-52394-49327-49325-49188-49192-49162-49172-49315-49311-107-106-57-56-49326-49324-49187-49191-49161-49171-49314-49310-103-64-51-50-157-156-49313-49309-49312-49308-61-60-53-47-255,0-11-10-35-22-23-13,23,0-1-2",ja3_params
2978242888,1631290605091,0,466,I,0,"771,49199,65281-11-35",ja3s_params
2916639176,1631290605303,0,463,I,0,0x95d6f221c32953590c3a85cbee0d9e61,ja3_hash
2916639176,1631290605303,0,465,I,0,0x303951d4c50efb2e991652225a6f02b1,ja3s_hash
2916639176,1631290605303,0,464,I,0,"771,4866-4867-4865-49196-49200-49195-49199-52393-52392-163-159-162-158-52394-49327-49325-49188-49192-49162-49172-49315-49311-107-106-57-56-49326-49324-49187-49191-49161-49171-49314-49310-103-64-51-50-157-156-49313-49309-49312-49308-61-60-53-47-255,11-10-35-22-23-13-43-45-51-21,29-23-30-25-24,0-1-2",ja3_params
2916639176,1631290605303,0,466,I,0,"771,49199,65281-11",ja3s_params
3145752964,1631290609959,0,463,I,0,0x6f09a54a72726b28810dfeebfac1c0c4,ja3_hash
3145752964,1631290609959,0,465,I,0,0x303951d4c50efb2e991652225a6f02b1,ja3s_hash
3145752964,1631290609959,0,464,I,0,"771,49196-49200-49195-49199-52393-52392-163-159-162-158-52394-49327-49325-49188-49192-49162-49172-49315-49311-107-106-57-56-49326-49324-49187-49191-49161-49171-49314-49310-103-64-51-50-157-156-49313-49309-49312-49308-61-60-53-47-255,0-11-10-35-22-23-13,23,0-1-2",ja3_params
3145752964,1631290609959,0,466,I,0,"771,49199,65281-11",ja3s_params
