start-time,end-time,duration,rtt,proto,sip,sp,dip,dp,iflags,uflags,riflags,ruflags,isn,risn,tag,rtag,pkt,oct,rpkt,roct,app,entropy,rentropy,end-reason
2021-09-10 16:14:56.488,2021-09-10 16:14:56.489,0.001,0.001,6,192.168.60.191,61795,192.168.60.205,135,AF,AF,AF,AF,06f8cd83,828cbe3b,000,000,3,120,4,160,0,0,0,
2021-09-10 16:14:57.232,2021-09-10 16:14:57.363,0.131,0.004,6,192.168.50.50,57346,192.168.50.101,443,S,APSF,AS,APSF,20adc062,524dce43,000,000,19,2866,14,5078,443,200,245,
2021-09-10 16:14:59.066,2021-09-10 16:14:59.257,0.191,0.004,6,192.168.50.125,33810,192.168.50.50,443,S,APSF,AS,APSF,00a0ceab,a1dee528,000,000,36,3154,57,62918,443,226,255,
2021-09-10 16:15:00.944,2021-09-10 16:15:00.968,0.024,0.000,6,192.168.50.130,57486,192.168.50.106,80,S,APSF,AS,APSF,de22db84,50c4d62f,000,000,13,1202,10,4508,80,172,251,
2021-09-10 16:15:07.411,2021-09-10 16:15:07.412,0.001,0.000,6,192.168.60.111,49993,192.168.60.205,88,S,APSF,AS,APRS,b91a50c0,246c005f,000,000,8,864,7,560,0,187,172,
2021-09-10 16:15:07.412,2021-09-10 16:15:07.412,0.000,0.000,6,192.168.60.205,88,192.168.60.111,49993,AR,0,0,0,246c00e0,00000000,000,000,1,40,0,0,0,0,0,
2021-09-10 16:15:07.407,2021-09-10 16:15:08.119,0.712,0.000,6,192.168.60.111,49992,192.168.60.205,445,S,APRS,AS,APS,3f39f39d,a0ddd9f5,000,000,15,3228,10,2604,139,136,151,
2021-09-10 16:15:08.119,2021-09-10 16:15:08.119,0.000,0.000,6,192.168.60.111,49992,192.168.60.205,445,AR,0,0,0,3f39f8b4,00000000,000,000,1,40,0,0,0,0,0,
2021-09-10 16:15:10.036,2021-09-10 16:15:10.223,0.187,0.003,6,192.168.50.129,45438,192.168.50.50,443,S,APSF,AS,APSF,bd879281,bba84c2d,000,000,36,3046,57,62936,443,223,255,
2021-09-10 16:15:16.488,2021-09-10 16:15:16.489,0.001,0.001,6,192.168.60.191,61796,192.168.60.205,49667,AF,AF,AF,AF,2181a60c,9e99d661,000,000,3,120,4,160,0,0,0,
2021-09-10 16:15:26.751,2021-09-10 16:15:26.775,0.024,0.000,6,192.168.50.123,58030,192.168.50.106,80,S,APSF,AS,APSF,0665781b,f77bb1bd,000,000,13,1112,10,4508,80,166,251,
2021-09-10 16:15:33.025,2021-09-10 16:15:33.081,0.056,0.001,6,192.168.50.133,47764,192.168.50.225,80,S,APSF,AS,APSF,8a0e8cb6,b8bd9ff8,000,000,19,1318,18,7338,80,174,171,
2021-09-10 16:15:33.081,2021-09-10 16:15:33.082,0.001,0.001,6,192.168.50.133,47764,192.168.50.225,80,A,A,R,0,8a0e8dbb,b8bdace3,000,000,3,120,1,40,0,0,0,
2021-09-10 16:15:33.082,2021-09-10 16:15:33.082,0.000,0.000,6,192.168.50.225,80,192.168.50.133,47764,R,0,0,0,b8bdace3,00000000,000,000,1,40,0,0,0,0,0,
2021-09-10 16:15:35.641,2021-09-10 16:15:35.833,0.192,0.000,6,192.168.50.125,33816,192.168.50.50,443,S,APSF,AS,APSF,d679f0f7,90d760d5,000,000,36,3182,55,62828,443,227,255,
2021-09-10 16:15:39.248,2021-09-10 16:15:39.316,0.068,0.003,6,192.168.50.126,39742,192.168.50.249,80,S,APSF,AS,APSF,88d12b05,1a45cf90,000,000,29,2054,26,28402,80,176,173,
2021-09-10 16:15:39.550,2021-09-10 16:15:39.559,0.009,0.009,6,192.168.51.22,49248,35.186.224.25,443,AF,AF,AF,AF,ca7ca430,82dfb21e,000,000,3,120,2,80,0,0,0,
2021-09-10 16:15:39.549,2021-09-10 16:15:39.559,0.010,0.010,6,192.168.51.22,49252,96.17.238.89,80,AF,AF,AF,AF,722a0798,2057923c,000,000,3,120,2,80,0,0,0,
2021-09-10 16:15:39.723,2021-09-10 16:15:39.723,0.000,0.000,6,192.168.51.22,49253,204.79.197.200,443,AR,0,0,0,996fe348,00000000,000,000,1,40,0,0,0,0,0,
2021-09-10 16:15:39.723,2021-09-10 16:15:39.723,0.000,0.000,6,192.168.51.22,49253,204.79.197.200,443,AR,0,0,0,996fe348,00000000,000,000,1,40,0,0,0,0,0,
2021-09-10 16:15:39.838,2021-09-10 16:15:39.838,0.000,0.000,6,192.168.51.22,49251,204.79.197.203,443,AR,0,0,0,2e5da7b1,00000000,000,000,1,40,0,0,0,0,0,
2021-09-10 16:15:39.838,2021-09-10 16:15:39.838,0.000,0.000,6,192.168.51.22,49251,204.79.197.203,443,AR,0,0,0,2e5da7b1,00000000,000,000,1,40,0,0,0,0,0,
2021-09-10 16:15:48.572,2021-09-10 16:15:48.573,0.001,0.001,6,192.168.50.50,54192,192.168.50.237,80,S,S,AR,0,fad7c897,00000000,000,000,2,120,1,40,0,0,0,
2021-09-10 16:15:48.573,2021-09-10 16:15:48.573,0.000,0.000,6,192.168.50.237,80,192.168.50.50,54192,AR,0,0,0,00000000,00000000,000,000,1,40,0,0,0,0,0,
2021-09-10 16:15:49.222,2021-09-10 16:15:49.513,0.291,0.001,6,192.168.50.50,57218,192.168.50.20,443,S,APRSF,AS,APSF,359cf436,4b522e6f,000,000,21,3128,22,8336,443,206,251,
